name,year,quarter,value
depreciation,2013,3,87.1
depreciation,2013,2,91.24
depreciation,2013,1,93.3
depreciation,2012,4,86.4
depreciation,2012,3,89.4
depreciation,2012,2,85.8
depreciation,2012,1,86.2
investments,2013,3,-917
investments,2013,2,-737
investments,2013,1,-469
investments,2012,4,-765
investments,2012,3,-1250
investments,2012,2,-707
investments,2012,1,-1240
divs_paid,2013,3,0
divs_paid,2013,2,0
divs_paid,2013,1,0
divs_paid,2012,4,0
divs_paid,2012,3,0
divs_paid,2012,2,0
divs_paid,2012,1,0
stock_financing,2013,3,-50.8
stock_financing,2013,2,-136
stock_financing,2013,1,-165
stock_financing,2012,4,-84.2
stock_financing,2012,3,-196
stock_financing,2012,2,97.4
stock_financing,2012,1,122
debt_financing,2013,3,0
debt_financing,2013,2,0
debt_financing,2013,1,0
debt_financing,2012,4,0
debt_financing,2012,3,0
debt_financing,2012,2,0
debt_financing,2012,1,0
