name,year,quarter,value
revs,2013,3,35
revs,2013,2,30
revs,2013,1,25
revs,2012,4,20
revs,2012,3,15
revs,2012,2,10
revs,2012,1,5
cogs,2013,3,4
cogs,2013,2,4
cogs,2013,1,4
cogs,2012,4,3
cogs,2012,3,3
cogs,2012,2,3
cogs,2012,1,3
sga,2013,3,10
sga,2013,2,10
sga,2013,1,10
sga,2012,4,8
sga,2012,3,8
sga,2012,2,5
sga,2012,1,1
tax,2013,3,1.5
tax,2013,2,1.5
tax,2013,1,1.5
tax,2012,4,1
tax,2012,3,1
tax,2012,2,1
tax,2012,1,1
rd,2013,3,5
rd,2013,2,5
rd,2013,1,5
rd,2012,4,5
rd,2012,3,5
rd,2012,2,5
rd,2012,1,5
